full_name,salary2,yearID,,,,,,,,,,,,,,,,,,,,,,
Rickey Henderson,"$2,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Matt Lawton,"$2,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Dave Martinez,"$2,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mark McLemore,"$2,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Deivi Cruz,"$1,975,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Pokey Reese,"$1,950,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Dmitri Young,"$1,950,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
John Mabry,"$1,850,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Brian Giles,"$1,816,667 ",2000,,,,,,,,,,,,,,,,,,,,,,
J.D. Drew,"$1,750,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Brent Mayne,"$1,750,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Michael Tucker,"$1,700,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Rich Aurilia,"$1,550,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Homer Bush,"$1,450,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Todd Hollandsworth,"$1,450,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
David Bell,"$1,425,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Tony Batista,"$1,400,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Eddie Taubensee,"$1,400,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Chris Widger,"$1,350,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Bill Mueller,"$1,325,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jose Valentin,"$1,320,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Todd Helton,"$1,300,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Jorge Posada,"$1,250,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Greg Myers,"$1,200,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Marvin Benard,"$1,125,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Greg Colbrunn,"$1,005,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Adrian Beltre,"$1,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Joe Randa,"$1,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Kelly Stinnett,"$1,000,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Matt Erickson,"$975,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Phil Nevin,"$875,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
John Vander Wal,"$875,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Tyler Houston,"$835,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Pat Burrell,"$800,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Luis Lopez,"$775,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Ben Grieve,"$750,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Fernando Tatis,"$750,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Scott Hatteberg,"$695,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Shannon Stewart,"$683,333 ",2000,,,,,,,,,,,,,,,,,,,,,,
Brook Fordyce,"$675,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Eddie Perez,"$650,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Benito Santiago,"$650,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Scott Spiezio,"$600,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Craig Paquette,"$595,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Orlando Palmeiro,"$550,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mike DiFelice,"$525,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Gregg Zaun,"$525,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Mark Sweeney,"$515,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Marty Cordova,"$500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Denny Hocking,"$500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Travis Lee,"$500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Todd Pratt,"$500,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Dave Hansen,"$475,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
Matt Franco,"$462,500 ",2000,,,,,,,,,,,,,,,,,,,,,,
Alberto Castillo,"$425,000 ",2000,,,,,,,,,,,,,,,,,,,,,,
